bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
SGJGI_metabat_2500_1.0.177	49	1	15	0	0.96078431372549	0.394736842105263	5156954	307	25826	0.9387	96.08	1.96
SGJGI_metabat_2500_1.0.231	49	1	14	0	0.96078431372549	0.368421052631579	6372217	436	20183	0.9387	96.08	1.96
SGJGI_metabat_2500_1.0.263	49	1	12	0	0.96078431372549	0.315789473684211	3286651	506	7445	0.9387	96.08	1.96
SGJGI_metabat_2500_1.0.116	50	2	13	0	0.980392156862745	0.342105263157895	4075604	132	73003	0.9368	98.04	3.92
MaxBin_allsamples_1.7.120	51	3	13	2	1	0.342105263157895	4517048	422	14964	0.9353	100	5.88
MaxBin_allsamples_1.7.032	50	2	14	0	0.980392156862745	0.368421052631579	6742477	347	46439	0.927	98.04	3.92
SGJGI_metabat_2500_1.0.99	47	0	12	0	0.92156862745098	0.315789473684211	2668374	36	124477	0.9216	92.16	0
MaxBin_allsamples_1.7.212	47	0	11	1	0.92156862745098	0.289473684210526	6739571	217	70367	0.9216	92.16	2.63
SGJGI_metabat_2500_1.0.59	47	0	15	0	0.92156862745098	0.394736842105263	2171235	103	37498	0.9216	92.16	0
SGJGI_metabat_2500_1.0.104	47	0	11	0	0.92156862745098	0.289473684210526	1808463	201	12277	0.9216	92.16	0
SGJGI_metabat_2500_1.0.208	48	1	14	1	0.941176470588235	0.368421052631579	7949020	113	160904	0.9189	94.12	2.63
MaxBin_allsamples_1.7.051	48	1	11	0	0.941176470588235	0.289473684210526	8206139	392	47769	0.9189	94.12	1.96
SGJGI_metabat_2500_1.0.133	48	1	13	0	0.941176470588235	0.342105263157895	2224473	128	27201	0.9189	94.12	1.96
SGJGI_metabat_2500_1.0.235	48	1	13	0	0.941176470588235	0.342105263157895	2944397	235	20831	0.9189	94.12	1.96
SGJGI_metabat_2500_1.0.212_sub	49	2	14	1	0.96078431372549	0.368421052631579	5356016	248	51567	0.9167	96.08	3.92
SGJGI_metabat_2500_1.0.27	49	2	13	0	0.96078431372549	0.342105263157895	3089998	339	11582	0.9167	96.08	3.92
SGJGI_metabat_2500_1.0.155_sub	50	3	14	4	0.980392156862745	0.368421052631579	12760020	1706	9601	0.915	98.04	10.53
MaxBin_allsamples_1.7.083	50	3	13	2	0.980392156862745	0.342105263157895	6533728	986	8144	0.915	98.04	5.88
MaxBin_allsamples_1.7.254	51	4	13	3	1	0.342105263157895	3326593	447	9748	0.9137	100	7.89
SGJGI_metabat_2500_1.0.18	47	1	15	1	0.92156862745098	0.394736842105263	3822060	109	77125	0.899	92.16	2.63
SGJGI_metabat_2500_1.0.169	47	1	14	1	0.92156862745098	0.368421052631579	2630720	111	51949	0.899	92.16	2.63
SGJGI_metabat_2500_1.0.22	47	1	16	1	0.92156862745098	0.421052631578947	4433386	228	39016	0.899	92.16	2.63
SGJGI_metabat_2500_1.0.211	47	1	13	2	0.92156862745098	0.342105263157895	2776392	194	23885	0.899	92.16	5.26
MaxBin_allsamples_1.7.080_sub	48	2	15	1	0.941176470588235	0.394736842105263	6930789	336	41320	0.8966	94.12	3.92
SGJGI_metabat_2500_1.0.73	49	3	12	2	0.96078431372549	0.315789473684211	4070811	181	38592	0.8946	96.08	5.88
SGJGI_metabat_2500_1.0.232	49	3	14	1	0.96078431372549	0.368421052631579	4599222	339	20226	0.8946	96.08	5.88
SGJGI_metabat_2500_1.0.332	49	3	14	0	0.96078431372549	0.368421052631579	4651083	442	15198	0.8946	96.08	5.88
SGJGI_metabat_2500_1.0.47_sub	50	4	14	0	0.980392156862745	0.368421052631579	6520567	455	23261	0.8932	98.04	7.84
MaxBin_allsamples_1.7.150	50	4	14	3	0.980392156862745	0.368421052631579	4849896	477	15059	0.8932	98.04	7.89
SGJGI_metabat_2500_1.0.251	45	0	10	0	0.882352941176471	0.263157894736842	2262290	329	8162	0.8824	88.24	0
MaxBin_allsamples_1.7.072	46	1	13	2	0.901960784313726	0.342105263157895	2311312	184	21650	0.8791	90.2	5.26
SGJGI_metabat_2500_1.0.68	47	2	14	0	0.92156862745098	0.368421052631579	4887422	630	9937	0.8764	92.16	3.92
SGJGI_metabat_2500_1.0.312	47	2	9	0	0.92156862745098	0.236842105263158	2749133	423	7808	0.8764	92.16	3.92
SGJGI_metabat_2500_1.0.95_sub	48	3	9	1	0.941176470588235	0.236842105263158	2582016	426	7097	0.8743	94.12	5.88
SGJGI_metabat_2500_1.0.245	49	4	16	0	0.96078431372549	0.421052631578947	3352889	193	27880	0.8726	96.08	7.84
MaxBin_allsamples_1.7.157_sub	49	4	15	1	0.96078431372549	0.394736842105263	7631224	886	11788	0.8726	96.08	7.84
SGJGI_metabat_2500_1.0.289	49	4	12	4	0.96078431372549	0.315789473684211	3256369	570	6239	0.8726	96.08	10.53
SGJGI_metabat_2500_1.0.87_sub	44	0	10	0	0.862745098039216	0.263157894736842	5385156	227	36360	0.8627	86.27	0
SGJGI_metabat_2500_1.0.205_sub	46	2	12	0	0.901960784313726	0.315789473684211	3712397	433	11454	0.8563	90.2	3.92
SGJGI_metabat_2500_1.0.204_sub	47	3	12	0	0.92156862745098	0.315789473684211	9201809	1330	8549	0.8539	92.16	5.88
SGJGI_metabat_2500_1.0.106	47	3	11	1	0.92156862745098	0.289473684210526	3542899	561	7483	0.8539	92.16	5.88
SGJGI_metabat_2500_1.0.61_sub	49	5	12	0	0.96078431372549	0.315789473684211	8668977	994	12096	0.8505	96.08	9.8
SGJGI_metabat_2500_1.0.193	45	1	11	2	0.882352941176471	0.289473684210526	8702254	749	17001	0.8494	88.24	5.26
SGJGI_metabat_2500_1.0.85	43	0	12	1	0.843137254901961	0.315789473684211	1300131	210	6989	0.8431	84.31	2.63
SGJGI_metabat_2500_1.0.42	44	1	14	1	0.862745098039216	0.368421052631579	2532777	208	18540	0.8393	86.27	2.63
SGJGI_metabat_2500_1.0.118	44	1	10	0	0.862745098039216	0.263157894736842	3884714	503	9341	0.8393	86.27	1.96
MaxBin_allsamples_1.7.041	45	2	12	0	0.882352941176471	0.315789473684211	3597346	237	25752	0.8361	88.24	3.92
MaxBin_allsamples_1.7.086	47	4	13	1	0.92156862745098	0.342105263157895	4093403	228	36193	0.8313	92.16	7.84
SGJGI_metabat_2500_1.0.240	47	4	12	1	0.92156862745098	0.315789473684211	4926502	657	9006	0.8313	92.16	7.84
concoct.22_sub	42	0	13	2	0.823529411764706	0.342105263157895	5990616	863	8805	0.8235	82.35	5.26
MaxBin_allsamples_1.7.232	47	4	15	1	0.92156862745098	0.394736842105263	4634056	724	8157	0.8215	92.16	7.84
MaxBin_allsamples_1.7.230_sub	44	2	12	0	0.862745098039216	0.315789473684211	4349148	333	20967	0.8159	86.27	3.92
SGJGI_metabat_2500_1.0.176_sub	45	3	12	1	0.882352941176471	0.315789473684211	4913216	642	9527	0.8129	88.24	5.88
MaxBin_allsamples_1.7.063_sub	46	4	11	0	0.901960784313726	0.289473684210526	2548255	363	8770	0.8106	90.2	7.84
MaxBin_allsamples_1.7.239_sub	48	6	11	1	0.941176470588235	0.289473684210526	2440721	484	5586	0.8074	94.12	11.76
SGJGI_metabat_2500_1.0.151_sub	49	7	13	1	0.96078431372549	0.342105263157895	8243548	784	15576	0.8064	96.08	13.73
MaxBin_allsamples_1.7.168_sub	42	1	9	0	0.823529411764706	0.236842105263158	2249382	129	30660	0.7994	82.35	1.96
MaxBin_allsamples_1.7.079	42	1	13	0	0.823529411764706	0.342105263157895	2153419	208	15399	0.7994	82.35	1.96
SGJGI_metabat_2500_1.0.153	44	3	12	0	0.862745098039216	0.315789473684211	2791021	54	93903	0.7924	86.27	5.88
SGJGI_metabat_2500_1.0.20	44	3	10	1	0.862745098039216	0.263157894736842	1744615	226	9836	0.7924	86.27	5.88
MaxBin_allsamples_1.7.256_sub	44	3	9	0	0.862745098039216	0.236842105263158	2294849	345	8081	0.7924	86.27	5.88
MaxBin_allsamples_1.7.132_sub	50	9	13	4	0.980392156862745	0.342105263157895	3728738	620	7320	0.7842	98.04	17.65
concoct.52_sub	50	9	14	2	0.980392156862745	0.368421052631579	3229294	474	8376	0.7744	98.04	17.65
MaxBin_allsamples_1.7.202_sub	43	3	12	1	0.843137254901961	0.315789473684211	2747717	330	11030	0.7719	84.31	5.88
MaxBin_allsamples_1.7.071_sub	44	4	11	1	0.862745098039216	0.289473684210526	2315523	523	4589	0.769	86.27	7.84
MaxBin_allsamples_1.7.118	45	5	11	3	0.882352941176471	0.289473684210526	2694545	631	4282	0.7667	88.24	9.8
MaxBin_allsamples_1.7.293_sub	39	1	8	0	0.764705882352941	0.210526315789474	1710581	201	11159	0.7395	76.47	1.96
SGJGI_metabat_2500_1.0.194	41	3	10	1	0.803921568627451	0.263157894736842	1215418	236	5551	0.7306	80.39	5.88
MaxBin_allsamples_1.7.042	41	3	10	2	0.803921568627451	0.263157894736842	1846525	446	4281	0.7306	80.39	5.88
MaxBin_allsamples_1.7.285	37	0	8	0	0.725490196078431	0.210526315789474	1180978	90	19057	0.7255	72.55	0
SGJGI_metabat_2500_1.0.179	38	1	7	0	0.745098039215686	0.184210526315789	1841232	285	7445	0.7195	74.51	1.96
MaxBin_allsamples_1.7.204	49	11	15	8	0.96078431372549	0.394736842105263	6398284	665	28644	0.7084	96.08	21.57
SGJGI_metabat_2500_1.0.7_sub	38	2	10	1	0.745098039215686	0.263157894736842	3319612	295	15495	0.6939	74.51	3.92
MaxBin_allsamples_1.7.119	35	0	4	0	0.686274509803922	0.105263157894737	167849	3	91753	0.6863	68.63	0
MaxBin_allsamples_1.7.013	47	10	11	2	0.92156862745098	0.289473684210526	3227746	726	4483	0.6861	92.16	19.61
MaxBin_allsamples_1.7.258_sub	36	1	8	1	0.705882352941177	0.210526315789474	4669473	1105	4380	0.6794	70.59	2.63
SGJGI_metabat_2500_1.0.54	43	7	12	1	0.843137254901961	0.315789473684211	2208800	384	6486	0.6768	84.31	13.73
MaxBin_allsamples_1.7.006	43	7	8	0	0.843137254901961	0.210526315789474	3445757	607	6128	0.6768	84.31	13.73
MaxBin_allsamples_1.7.275_sub	37	2	2	0	0.725490196078431	0.0526315789473684	225987	11	157751	0.6734	72.55	3.92
MaxBin_allsamples_1.7.277_sub	37	2	8	1	0.725490196078431	0.210526315789474	1538096	331	4718	0.6734	72.55	3.92
concoct.60_sub	42	6	5	1	0.823529411764706	0.131578947368421	4105088	884	4761	0.6692	82.35	11.76
MaxBin_allsamples_1.7.174	38	3	6	0	0.745098039215686	0.157894736842105	1009243	92	14125	0.6683	74.51	5.88
SGJGI_metabat_2500_1.0.172_sub	37	2	12	0	0.725490196078431	0.315789473684211	3034189	490	6959	0.6636	72.55	3.92
SGJGI_metabat_2500_1.0.338_sub	35	1	9	0	0.686274509803922	0.236842105263158	2335837	398	6627	0.6593	68.63	1.96
MaxBin_allsamples_1.7.151_sub	41	6	12	2	0.803921568627451	0.315789473684211	7697092	1329	6577	0.6573	80.39	11.76
SGJGI_metabat_2500_1.0.239	36	2	10	0	0.705882352941177	0.263157894736842	3249926	485	8270	0.6529	70.59	3.92
SGJGI_metabat_2500_1.0.182	33	0	8	0	0.647058823529412	0.210526315789474	781389	41	31175	0.6471	64.71	0
MaxBin_allsamples_1.7.203_sub	42	7	12	0	0.823529411764706	0.315789473684211	4105840	496	11069	0.6451	82.35	13.73
SGJGI_metabat_2500_1.0.92	34	1	6	0	0.666666666666667	0.157894736842105	1998560	469	4367	0.6392	66.67	1.96
MaxBin_allsamples_1.7.180_sub	51	15	14	4	1	0.368421052631579	10172177	1518	8260	0.6373	100	29.41
MaxBin_allsamples_1.7.146_sub	44	10	12	0	0.862745098039216	0.315789473684211	3787339	751	5458	0.6283	86.27	19.61
SGJGI_metabat_2500_1.0.72_sub	36	3	12	0	0.705882352941177	0.315789473684211	3381408	241	22457	0.6265	70.59	5.88
concoct.57_sub	43	8	10	1	0.843137254901961	0.263157894736842	3156035	456	9092	0.6237	84.31	15.69
SGJGI_metabat_2500_1.0.265_sub	37	4	12	2	0.725490196078431	0.315789473684211	4308512	401	14860	0.6214	72.55	7.84
MaxBin_allsamples_1.7.048_sub	37	4	11	3	0.725490196078431	0.289473684210526	2184862	312	8594	0.6214	72.55	7.89
MaxBin_allsamples_1.7.179_sub	33	1	2	0	0.647058823529412	0.0526315789473684	434045	49	16362	0.6191	64.71	1.96
MaxBin_allsamples_1.7.190	39	6	10	4	0.764705882352941	0.263157894736842	5452530	495	18289	0.6136	76.47	11.76
SGJGI_metabat_2500_1.0.264	34	2	12	0	0.666666666666667	0.315789473684211	3870852	389	13312	0.6118	66.67	3.92
SGJGI_metabat_2500_1.0.288_sub	42	9	14	2	0.823529411764706	0.368421052631579	5992472	1424	4235	0.6067	82.35	17.65
MaxBin_allsamples_1.7.090_sub	35	3	8	1	0.686274509803922	0.210526315789474	2374688	282	11921	0.6054	68.63	5.88
MaxBin_allsamples_1.7.147_sub	50	17	16	5	0.980392156862745	0.421052631578947	10301427	648	30288	0.5999	98.04	33.33
MaxBin_allsamples_1.7.297	32	1	3	0	0.627450980392157	0.0789473684210526	135199	21	7561	0.5989	62.75	1.96
SGJGI_metabat_2500_1.0.250_sub	32	1	7	0	0.627450980392157	0.184210526315789	1063968	205	5573	0.5989	62.75	1.96
MaxBin_allsamples_1.7.237_sub	32	1	5	1	0.627450980392157	0.131578947368421	1977452	441	4561	0.5989	62.75	2.63
SGJGI_metabat_2500_1.0.158_sub	47	13	13	9	0.92156862745098	0.342105263157895	4618914	816	6244	0.5987	92.16	25.49
SGJGI_metabat_2500_1.0.166	31	1	12	0	0.607843137254902	0.315789473684211	1498931	240	7020	0.5787	60.78	1.96
SGJGI_metabat_2500_1.0.294_sub	31	1	9	1	0.607843137254902	0.236842105263158	2107459	446	4996	0.5787	60.78	2.63
MaxBin_allsamples_1.7.263_sub	37	6	13	1	0.725490196078431	0.342105263157895	2304369	494	4770	0.5694	72.55	11.76
SGJGI_metabat_2500_1.0.94	42	11	12	1	0.823529411764706	0.315789473684211	4057612	726	6370	0.5585	82.35	21.57
concoct.69_sub	37	7	12	1	0.725490196078431	0.315789473684211	6497617	327	43138	0.5433	72.55	13.73
MaxBin_allsamples_1.7.103	37	7	9	4	0.725490196078431	0.236842105263158	4148894	871	4942	0.5433	72.55	13.73
MaxBin_allsamples_1.7.136_sub	32	3	5	0	0.627450980392157	0.131578947368421	1275396	150	12063	0.5418	62.75	5.88
MaxBin_allsamples_1.7.144_sub	29	1	7	0	0.568627450980392	0.184210526315789	1506123	367	4022	0.5381	56.86	1.96
MaxBin_allsamples_1.7.247	46	16	14	2	0.901960784313726	0.368421052631579	3606573	200	41775	0.5364	90.2	31.37
MaxBin_allsamples_1.7.127_sub	37	7	10	2	0.725490196078431	0.263157894736842	2482260	659	3647	0.5335	72.55	13.73
SGJGI_metabat_2500_1.0.335_sub	27	0	6	0	0.529411764705882	0.157894736842105	2004930	369	6030	0.5294	52.94	0
MaxBin_allsamples_1.7.050_sub	44	12	12	5	0.862745098039216	0.315789473684211	6752602	1459	4775	0.5717	86.27	23.53
concoct.21_sub	37	7	10	3	0.725490196078431	0.263157894736842	4364900	1045	4162	0.5433	72.55	13.73
MaxBin_allsamples_1.7.296	30	2	2	0	0.588235294117647	0.0526315789473684	125086	13	14272	0.5286	58.82	3.92
SGJGI_metabat_2500_1.0.310	30	2	9	1	0.588235294117647	0.236842105263158	1502962	191	9072	0.5286	58.82	3.92
SGJGI_metabat_2500_1.0.280	30	2	4	0	0.588235294117647	0.105263157894737	1128902	236	5092	0.5286	58.82	3.92
MaxBin_allsamples_1.7.077	36	7	9	1	0.705882352941177	0.236842105263158	2948086	707	4155	0.5206	70.59	13.73
MaxBin_allsamples_1.7.108_sub	32	4	8	0	0.627450980392157	0.210526315789474	1620791	451	3372	0.5132	62.75	7.84
SGJGI_metabat_2500_1.0.79_sub	26	0	9	0	0.509803921568627	0.236842105263158	1620419	223	7973	0.5098	50.98	0
SGJGI_metabat_2500_1.0.119_sub	29	2	12	1	0.568627450980392	0.315789473684211	3509381	571	7054	0.5076	56.86	3.92
MaxBin_allsamples_1.7.089	34	6	4	0	0.666666666666667	0.105263157894737	181814	11	28844	0.502	66.67	11.76
MaxBin_allsamples_1.7.251_sub	35	5	8	3	0.686274509803922	0.210526315789474	2525260	542	4913	0.5221	68.63	9.8
MaxBin_allsamples_1.7.105_sub	40	8	13	2	0.784313725490196	0.342105263157895	4765700	903	5711	0.5467	78.43	15.69
concoct.64_sub	37	6	9	2	0.725490196078431	0.236842105263158	2413956	655	3591	0.5694	72.55	11.76
MaxBin_allsamples_1.7.131_sub	37	6	9	4	0.725490196078431	0.236842105263158	2951856	592	5398	0.5694	72.55	11.76
SGJGI_metabat_2500_1.0.242_sub	28	0	1	0	0.549019607843137	0.0263157894736842	164676	32	5910	0.549	54.9	0
